"state","zcta5","county","tract","stab","cntyname","zipname","pop10","afact"
"State code","ZIP census tabulation area","County code","Tract","State abbreviation","County name","ZCTA name","Total population (2010)","zcta5 to tract allocation factor"
"17","60002","17097","8608.05","IL","Lake IL","Antioch, IL",1693,0.0697 
"17","60002","17097","8608.06","IL","Lake IL","Antioch, IL",5296,0.218 
"17","60002","17097","8608.08","IL","Lake IL","Antioch, IL",2719,0.1119 
"17","60002","17097","8608.09","IL","Lake IL","Antioch, IL",3008,0.1238 
"17","60002","17097","8608.10","IL","Lake IL","Antioch, IL",7231,0.2976 
"17","60002","17097","8608.11","IL","Lake IL","Antioch, IL",3795,0.1562 
"17","60002","17097","8610.07","IL","Lake IL","Antioch, IL",11,0.0005 
"17","60002","17097","8610.12","IL","Lake IL","Antioch, IL",324,0.0133 
"17","60002","17097","8660.00","IL","Lake IL","Antioch, IL",222,0.0091 
"17","60004","17031","8025.03","IL","Cook IL","Arlington Heights, IL",78,0.0015 
"17","60004","17031","8026.08","IL","Cook IL","Arlington Heights, IL",2965,0.0586 
"17","60004","17031","8028.01","IL","Cook IL","Arlington Heights, IL",4242,0.0839 
"17","60004","17031","8029.00","IL","Cook IL","Arlington Heights, IL",6080,0.1202 
"17","60004","17031","8030.05","IL","Cook IL","Arlington Heights, IL",2023,0.04 
"17","60004","17031","8030.07","IL","Cook IL","Arlington Heights, IL",3457,0.0683 
"17","60004","17031","8030.08","IL","Cook IL","Arlington Heights, IL",4712,0.0932 
"17","60004","17031","8030.10","IL","Cook IL","Arlington Heights, IL",2361,0.0467 
"17","60004","17031","8030.12","IL","Cook IL","Arlington Heights, IL",1102,0.0218 
"17","60004","17031","8030.15","IL","Cook IL","Arlington Heights, IL",1871,0.037 
"17","60004","17031","8030.16","IL","Cook IL","Arlington Heights, IL",1979,0.0391 
"17","60004","17031","8030.17","IL","Cook IL","Arlington Heights, IL",4073,0.0805 
"17","60004","17031","8031.00","IL","Cook IL","Arlington Heights, IL",3440,0.068 
"17","60004","17031","8032.00","IL","Cook IL","Arlington Heights, IL",5119,0.1012 
"17","60004","17031","8033.00","IL","Cook IL","Arlington Heights, IL",1734,0.0343 
"17","60004","17031","8034.00","IL","Cook IL","Arlington Heights, IL",1794,0.0355 
"17","60004","17031","8036.12","IL","Cook IL","Arlington Heights, IL",3536,0.0699 
"17","60004","17031","8039.01","IL","Cook IL","Arlington Heights, IL",16,0.0003 
"17","60005","17031","8032.00","IL","Cook IL","Arlington Heights, IL",467,0.0159 
