"zcta","county","tract","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","Tract","County name","ZIP Code name","Total population (2020 Census)","zcta-to-tract allocation factor"
"60002","17097","8608.05","Lake IL","Antioch, IL",1648,0.0684 
"60002","17097","8608.06","Lake IL","Antioch, IL",5148,0.2137 
"60002","17097","8608.08","Lake IL","Antioch, IL",2639,0.1096 
"60002","17097","8608.09","Lake IL","Antioch, IL",2928,0.1216 
"60002","17097","8608.11","Lake IL","Antioch, IL",4037,0.1676 
"60002","17097","8608.12","Lake IL","Antioch, IL",3816,0.1584 
"60002","17097","8608.13","Lake IL","Antioch, IL",3300,0.137 
"60002","17097","8610.07","Lake IL","Antioch, IL",35,0.0015 
"60002","17097","8610.12","Lake IL","Antioch, IL",336,0.014 
"60002","17097","8660.00","Lake IL","Antioch, IL",199,0.0083 
"60004","17031","8025.03","Cook IL","Arlington Heights, IL",180,0.0034 
"60004","17031","8026.08","Cook IL","Arlington Heights, IL",3167,0.0603 
"60004","17031","8028.01","Cook IL","Arlington Heights, IL",4492,0.0855 
"60004","17031","8029.00","Cook IL","Arlington Heights, IL",6055,0.1152 
"60004","17031","8030.05","Cook IL","Arlington Heights, IL",2042,0.0389 
"60004","17031","8030.07","Cook IL","Arlington Heights, IL",3414,0.065 
"60004","17031","8030.08","Cook IL","Arlington Heights, IL",4767,0.0907 
"60004","17031","8030.10","Cook IL","Arlington Heights, IL",2414,0.0459 
"60004","17031","8030.12","Cook IL","Arlington Heights, IL",1110,0.0211 
"60004","17031","8030.15","Cook IL","Arlington Heights, IL",1841,0.035 
"60004","17031","8030.16","Cook IL","Arlington Heights, IL",2490,0.0474 
"60004","17031","8030.17","Cook IL","Arlington Heights, IL",4268,0.0812 
"60004","17031","8031.00","Cook IL","Arlington Heights, IL",3616,0.0688 
"60004","17031","8032.00","Cook IL","Arlington Heights, IL",5104,0.0971 
"60004","17031","8033.00","Cook IL","Arlington Heights, IL",1795,0.0342 
"60004","17031","8034.00","Cook IL","Arlington Heights, IL",1933,0.0368 
