"Buffer","Agency","Line(s)","Station Name","Year Opened","Latitude","Longitude"
"Existing Transit","Amtrak ","Hiawatha","Amtrak Milwaukee","Pre-2000",43.0345,-87.9166
"Existing Transit","Amtrak ","Hiawatha","Milwaukee General Mitchell Int Airport","Pre-2000",42.940747650094,-87.92457103729248
"Existing Transit","Amtrak ","Hiawatha","Sturtevant","Pre-2000",42.718708984619674,-87.90597259998322
"Existing Transit","CTA","Blue Line","Addison-Blue","Pre-2000",41.94738,-87.71906
"Existing Transit","CTA","Blue Line","Austin-Blue","Pre-2000",41.870851,-87.776812
"Existing Transit","CTA","Blue Line","Belmont-Blue","Pre-2000",41.938132,-87.712359
"Existing Transit","CTA","Blue Line","California-O'Hare","Pre-2000",41.921939,-87.69689
"Existing Transit","CTA","Blue Line","Chicago-Blue","Pre-2000",41.896075,-87.655214
"Existing Transit","CTA","Blue Line","Cicero-Forest Park","Pre-2000",41.871574,-87.745154
"Existing Transit","CTA","Blue Line","Clinton-Blue","Pre-2000",41.875539,-87.640984
"Existing Transit","CTA","Blue Line","Cumberland","Pre-2000",41.984246,-87.838028
"Existing Transit","CTA","Blue Line","Damen-O'Hare","Pre-2000",41.909744,-87.677437
"Existing Transit","CTA","Blue Line","Division","Pre-2000",41.903355,-87.666496
"Existing Transit","CTA","Blue Line","Forest Park","Pre-2000",41.874257,-87.817318
"Existing Transit","CTA","Blue Line","Grand-Blue","Pre-2000",41.891189,-87.647578
"Existing Transit","CTA","Blue Line","Harlem-Forest Park","Pre-2000",41.87349,-87.806961
"Existing Transit","CTA","Blue Line","Harlem-O'Hare","Pre-2000",41.98227,-87.8089
"Existing Transit","CTA","Blue Line","Illinois Medical District","Pre-2000",41.875706,-87.673932
"Existing Transit","CTA","Blue Line","Irving Park-Blue","Pre-2000",41.952925,-87.729229
"Existing Transit","CTA","Blue Line","Jackson-Blue","Pre-2000",41.878183,-87.629296
