zpid,longitude,latitude,bathrooms,bedrooms,address,price,zipcode,living_area,home_type,rent_zestimate,unit,time_on_zillow
65552033,-87.62754,41.86114,1.0,1.0,1530 S State St APT 415,2800.0,60605,1065.0,CONDO,2248.0,Apt 415,5625000
60270579,-87.64906,41.880234,2.0,2.0,843 W Monroe St APT 2F,3300.0,60607,1000.0,APARTMENT,3657.0,Apt 2F,46056000
446735593,-87.61685,41.88554,1.0,1.0,450 E Benton Pl #2308,2534.0,60601,690.0,APARTMENT,,# 2308,90383000
89908245,-87.64045,41.894466,1.0,1.0,451 W Huron St UNIT 1209,3200.0,60654,850.0,APARTMENT,2643.0,Unit 1209,92258000
2112016331,-87.628944,41.874878,1.0,0.0,525 S Dearborn St APT 605,1695.0,60605,550.0,APARTMENT,2752.0,Apt 605,129830000
3868964,-87.617935,41.884876,2.0,2.0,360 E Randolph St APT 3602,4800.0,60601,,CONDO,3903.0,Apt 3602,162399000
65546971,-87.64883,41.879482,2.0,2.0,842 W Adams St FLOOR 2,2750.0,60607,,APARTMENT,3056.0,Floor 2,167614000
446702980,-87.62467,41.869102,1.0,0.0,1100 S Michigan Ave #2090,2525.0,60605,500.0,APARTMENT,,# 2090,171996000
2077324985,-87.63782,41.895157,3.0,3.0,361 W Superior St #A,5400.0,60654,1764.0,TOWNHOUSE,5064.0,# A,181194000
446693201,-87.62768,41.863846,1.0,1.0,1402 S State St #T2,2198.0,60605,794.0,APARTMENT,,# T2,184012000
87722258,-87.629906,41.873093,1.0,0.0,640 S Federal St APT 703,1425.0,60605,,APARTMENT,1952.0,Apt 703,187116000
3875775,-87.62987,41.86482,2.0,2.0,1328 S Federal St UNIT F,3200.0,60605,,TOWNHOUSE,2329.0,Unit F,188844000
60270954,-87.62691,41.86209,1.0,1.0,5 E 14th Pl APT 1002,2425.0,60605,830.0,CONDO,2516.0,Apt 1002,226628000
70471099,-87.6257,41.882275,1.0,1.0,5 N Wabash Ave APT 1706,2900.0,60602,900.0,APARTMENT,2285.0,Apt 1706,230102000
2111604449,-87.625725,41.88228,1.0,1.0,5 N Wabash Ave,2900.0,60602,900.0,APARTMENT,2345.0,,230455000
89970253,-87.646484,41.863895,1.0,1.0,1355 S Halsted St UNIT 304,1800.0,60607,800.0,APARTMENT,2186.0,Unit 304,230528000
446672186,-87.62248,41.89232,1.0,1.0,201 E Ohio St #1715,2725.0,60611,586.0,APARTMENT,,# 1715,252305000
446672066,-87.64036,41.888298,2.0,2.0,344 N Canal St #2111,5112.0,60606,1250.0,APARTMENT,,# 2111,252638000
342149949,-87.632324,41.895836,1.0,1.0,733 N La Salle Dr UNIT 1,2680.0,60654,779.0,APARTMENT,2794.0,Unit 1,267758000
446649958,-87.629196,41.889816,2.0,2.0,29 W Hubbard St #1702,4000.0,60654,1997.0,APARTMENT,,# 1702,277429000
65566286,-87.631584,41.896217,2.0,2.0,744 N Clark St APT 704,3200.0,60654,,APARTMENT,3252.0,Apt 704,325183000
87697647,-87.621574,41.86615,2.0,2.0,1235 S Prairie Ave APT 2909,3950.0,60605,1469.0,APARTMENT,3129.0,Apt 2909,335443000
3875822,-87.62993,41.86541,2.0,2.0,1312 S Federal St UNIT C,3200.0,60605,1281.0,TOWNHOUSE,2920.0,Unit C,347615000
99357239,-87.645035,41.884,1.0,1.0,659 W Randolph St APT 618,2800.0,60661,840.0,SINGLE_FAMILY,2598.0,Apt 618,349648000
446398260,-87.627144,41.89037,1.0,1.0,440 N Wabash Ave #1480,2950.0,60611,900.0,APARTMENT,,# 1480,358799000
444849843,,,3.0,4.0,(undisclosed Address),10000.0,60607,,SINGLE_FAMILY,,,404017000
60202934,-87.641846,41.895363,2.0,2.0,525 W Superior St APT 323,3800.0,60654,1250.0,APARTMENT,3412.0,Apt 323,425254000
2084488168,-87.62942,41.873016,2.0,1.0,714 S Dearborn St FL 5,3250.0,60605,2700.0,APARTMENT,6738.0,Fl 5,431315000
443220354,-87.64924,41.892265,2.0,2.0,550 N Milwaukee Ave #1,3295.0,60642,600.0,APARTMENT,,# 1,508079000
2089631966,-87.62704,41.869446,1.0,1.0,1021 S State St APT 204,2195.0,60605,1000.0,CONDO,2095.0,Apt 204,509579000
446286936,-87.650185,41.88502,3.0,2.0,164 N Peoria St #4102,7410.0,60607,,APARTMENT,,# 4102,527824000
