zpid,longitude,latitude,bathrooms,bedrooms,address,zipcode,living_area,lot_area,lot_area_unit,home_type,price,rent_zestimate,sale_zestimate,time_on_zillow
80849564,-87.62102,41.88652,1.0,1.0,222 N Columbus Dr APT 1901,60601,835.0,,,CONDO,300000.0,,,6551000
3876625,-87.62145,41.862095,3.0,3.0,1502 S Prairie Ave UNIT A,60605,2100.0,0.0,sqft,TOWNHOUSE,650000.0,,,20379000
80834255,-87.62742,41.89358,1.0,1.0,10 E Ontario St APT 1201,60611,765.0,,,CONDO,235000.0,,,22474000
101346658,-87.61461,41.892853,4.0,3.0,600 N Lake Shore Dr APT 3705,60611,2540.0,,,CONDO,1950000.0,7466.0,1805200.0,28175000
113958256,-87.62642,41.888954,3.0,2.0,401 N Wabash Ave #60F,60601,1837.0,,,CONDO,1495000.0,,,30543000
3865218,-87.62608,41.889942,1.0,0.0,405 N Wabash Ave UNIT 3003,60611,665.0,,,CONDO,230000.0,,,36854000
113499771,-87.63604,41.89212,2.0,1.0,303 W Ohio St #2105,60610,0.0,,,CONDO,385000.0,2171.0,387400.0,39830000
58366323,-87.63908,41.893394,3.0,2.0,400 W Ontario St APT 1603,60654,1817.0,,,CONDO,579900.0,,,41656000
65572353,-87.62754,41.86114,2.0,2.0,1530 S State St APT 14S,60605,1547.0,,,CONDO,475000.0,,,42858000
65551986,-87.64983,41.860832,2.0,2.0,1524 S Sangamon St UNIT 512S,60608,1150.0,,,CONDO,360000.0,,,92961000
99357183,-87.62927,41.89304,2.0,2.0,33 W Ontario St APT 22H,60654,1250.0,,,CONDO,399000.0,,,100747000
3866491,-87.61671,41.894665,2.0,1.0,680 N Lake Shore Dr APT 2300,60611,2575.0,,,CONDO,999000.0,,,102847000
3866018,-87.62327,41.89653,2.0,1.0,161 E Chicago Ave APT 53H,60611,1456.0,,,CONDO,725000.0,,,103163000
70473037,-87.63265,41.872303,1.0,1.0,732 S Financial Pl APT 506,60605,1075.0,,,CONDO,290000.0,1829.0,287700.0,105852000
3870028,-87.61479,41.88492,2.0,2.0,155 N Harbor Dr APT 610,60601,1250.0,,,CONDO,545000.0,,,109435000
2082505938,-87.64904,41.87995,2.0,2.0,111 S Peoria St UNIT 210,60607,1613.0,,,CONDO,999000.0,,,116049000
446735857,-87.64255,41.88735,3.0,4.0,315 N Jefferson St #402A,60661,0.0,,,CONDO,899000.0,,,118447000
70466731,-87.64333,41.895164,2.0,2.0,720 N Larrabee St APT 909,60654,1200.0,,,CONDO,400000.0,2651.0,400800.0,119057000
2078577129,-87.6451,41.887646,2.0,2.0,660 W Wayman St UNIT 403B,60661,0.0,,,CONDO,329900.0,,,120252000
60268547,-87.628456,41.89367,1.0,0.0,630 N State St APT 1604,60654,527.0,,,CONDO,219000.0,,,120559000
63702845,-87.63324,41.87315,2.0,2.0,701 S Wells St APT 2202,60607,1275.0,,,CONDO,430000.0,2949.0,427200.0,121443000
80833956,-87.62572,41.88392,3.0,2.0,130 N Garland Ct APT 3803,60602,1758.0,,,CONDO,1050000.0,,,125947000
99346843,-87.61461,41.892853,2.0,2.0,600 N Lake Shore Dr APT 2509,60611,1290.0,,,CONDO,575000.0,,,130160000
60268446,-87.63786,41.89087,1.0,1.0,360 W Illinois St APT 525,60654,0.0,,,CONDO,375000.0,2388.0,383300.0,138550000
58366675,-87.63613,41.889545,2.0,2.0,333 W Hubbard St APT 416,60654,1187.0,,,CONDO,425000.0,,,139755000
60269191,-87.63403,41.883347,2.0,2.0,212 W Washington St APT 1605,60606,1550.0,,,CONDO,489000.0,2369.0,,161651000
58368544,-87.62153,41.89237,1.0,0.0,211 E Ohio St APT 2611,60611,0.0,,,CONDO,193000.0,,,171863000
