zpid,longitude,latitude,bathrooms,bedrooms,address,price,zipcode
446735593,-87.61685,41.88554,1.0,1.0,450 E Benton Pl #2308,2534.0,60601
2112016331,-87.628944,41.874878,1.0,0.0,525 S Dearborn St APT 605,1695.0,60605
3868964,-87.617935,41.884876,2.0,2.0,360 E Randolph St APT 3602,4800.0,60601
65546971,-87.64883,41.879482,2.0,2.0,842 W Adams St FLOOR 2,2750.0,60607
446702980,-87.62467,41.869102,1.0,0.0,1100 S Michigan Ave #2090,2525.0,60605
2077324985,-87.63782,41.895157,3.0,3.0,361 W Superior St #A,5400.0,60654
446693201,-87.62768,41.863846,1.0,1.0,1402 S State St #T2,2198.0,60605
87722258,-87.629906,41.873093,1.0,0.0,640 S Federal St APT 703,1425.0,60605
3875775,-87.62987,41.86482,2.0,2.0,1328 S Federal St UNIT F,3200.0,60605
60270954,-87.62691,41.86209,1.0,1.0,5 E 14th Pl APT 1002,2425.0,60605
70471099,-87.6257,41.882275,1.0,1.0,5 N Wabash Ave APT 1706,2900.0,60602
2111604449,-87.625725,41.88228,1.0,1.0,5 N Wabash Ave,2900.0,60602
89970253,-87.646484,41.863895,1.0,1.0,1355 S Halsted St UNIT 304,1800.0,60607
446672186,-87.62248,41.89232,1.0,1.0,201 E Ohio St #1715,2725.0,60611
446672066,-87.64036,41.888298,2.0,2.0,344 N Canal St #2111,5112.0,60606
342149949,-87.632324,41.895836,1.0,1.0,733 N La Salle Dr UNIT 1,2680.0,60654
446649958,-87.629196,41.889816,2.0,2.0,29 W Hubbard St #1702,4000.0,60654
65566286,-87.631584,41.896217,2.0,2.0,744 N Clark St APT 704,3200.0,60654
87697647,-87.621574,41.86615,2.0,2.0,1235 S Prairie Ave APT 2909,3950.0,60605
3875822,-87.62993,41.86541,2.0,2.0,1312 S Federal St UNIT C,3200.0,60605
446398260,-87.627144,41.89037,1.0,1.0,440 N Wabash Ave #1480,2950.0,60611
444849843,,,3.0,4.0,(undisclosed Address),10000.0,60607
60202934,-87.641846,41.895363,2.0,2.0,525 W Superior St APT 323,3800.0,60654
2084488168,-87.62942,41.873016,2.0,1.0,714 S Dearborn St FL 5,3250.0,60605
443220354,-87.64924,41.892265,2.0,2.0,550 N Milwaukee Ave #1,3295.0,60642
2089631966,-87.62704,41.869446,1.0,1.0,1021 S State St APT 204,2195.0,60605
446286936,-87.650185,41.88502,3.0,2.0,164 N Peoria St #4102,7410.0,60607
119971643,-87.64211,41.87833,1.0,1.0,565 W Quincy St UNIT 1714,2200.0,60661
446231028,-87.61585,41.885803,1.0,1.0,195 N Harbor Service Dr #201,2490.0,60601
70469216,,,1.0,2.0,(undisclosed Address),3100.0,60611
2102633503,-87.61702,41.893105,1.0,1.0,400 E Ohio St #3211,1699.0,60611
80814114,-87.632935,41.88941,1.0,0.0,400 N La Salle Dr APT 2003,2200.0,60654
2110889881,-87.64761,41.863396,3.0,2.0,817 W University Ln #817,3200.0,60608
2085026625,-87.62301,41.891193,2.0,2.0,160 E Illinois St APT 2207,4000.0,60611
446023710,-87.62288,41.860584,1.0,1.0,1550 S Indiana Ave #1-601,2200.0,60605
3868690,-87.616554,41.889854,3.0,3.0,424 E North Water St UNIT D,6500.0,60611
446000153,-87.63747,41.88762,2.0,2.0,413 W Wolf Point Plz #4309,4500.0,60654
65568249,-87.628654,41.88285,1.0,1.0,20 N State St APT 605,2195.0,60602
445996588,-87.6489,41.88178,1.0,0.0,840 W Madison St #303,2245.0,60607
445996103,-87.64277,41.885475,1.0,1.0,181 N Jefferson St #1110,2190.0,60661
